location,mean_lat,mean_lon,listing_count
al kareem garden,31.58947925,74.45221175,16
sham nagar,31.55627968,74.2951124425,16
i-16,33.5974223125,72.9341400625,16
rehmania town,31.405321875,73.0625621875,16
ali view garden,31.4893220625,74.4068440625,16
habib homes,31.463074,74.321506,16
rehman villas,31.4116600625,73.61282625,16
rehman town,31.463848,73.124306,16
abid town,24.926346125000002,67.08301818749999,16
wahdat road,31.506737995625002,74.29361354625,16
doctors housing society,32.444860045333336,73.71757274,15
haji chowk,33.630152603333336,73.08940718400001,15
bankers town,31.448371,74.391315,15
dharampura,31.554671476666666,74.36664043399999,15
c-18,33.66876374533334,72.82584379733333,15
sahafi colony,31.577371000000003,74.44632699999998,15
naz town,31.401494373333332,74.266615964,15
rana town,31.685596,74.27169813333333,15
new garden town,31.392350778666664,73.10814715733333,15
awt army welfare trust,31.356531800000003,74.21042493333334,15
maskan chowrangi,24.934847,67.10524813333333,15
gulshan colony,31.4504248,73.65975013333333,15
fazaia colony,33.618875264,73.11504942933334,15
green view colony,31.445456724666666,73.07156862400001,15
krishan nagar,31.567419873333332,74.291897484,15
lalazar 2,33.551679,73.02683,15
shah allah ditta,33.71298838,72.92128086,15
marwa town,33.62902,73.15288873333334,15
simly dam road,33.71735884785714,73.228400505,14
falcon complex faisal,24.865828,67.088388,14
al-hafiz town,31.508584227857142,74.24917657357143,14
shalimar housing scheme,31.582612,74.416838,14
shahra-e-qaideen,24.872848965,67.0384238307143,14
madina colony,31.491370614999997,74.36139314642857,14
rabia city,24.907814,67.13298278571428,14
askari 12,33.597588,73.080837,14
army officers colony,33.53827385714286,73.08259771428571,14
ideal homes society,33.596446,73.12485,14
rawat,33.50633863428571,73.19122911285714,14
hassan goth,25.028795,67.092118,14
mohafiz town,31.434999392857144,74.23406794214286,14
sarwar town,31.50676396142857,74.24655382214287,14
shahpur,33.74289448714286,73.21372432142857,14
al-noor colony,33.628011,73.10756,14
allama iqbal road,31.55922438642857,74.35113787714285,14
rawal town,33.686032,73.117268,14
punjab chowrangi,24.83447892857143,67.03912092857142,14
jhumra road,31.470089,73.13156628571429,14
azam town,24.844790285714286,67.07006578571429,14
ptv society,25.00838607142857,67.1181072142857,14
sindh industrial trading estate (site),24.92293468357143,67.01435655285715,14
chattar,33.77960904857143,73.24022976785714,14
bagh-e-korangi,24.858398,67.151549,14
bagarian,31.425943928571428,74.29599814285714,14
zia colony,31.441479,73.142581,13
acro green - bankers avenue,31.437103,74.482945,13
younas town,31.382585,73.123012,13
police foundation housing scheme,33.566321,73.133953,13
rail town (canal city),31.442333707692306,74.2050810223077,13
badami bagh,31.601385615384615,74.32108184615385,13
al-hilal society,24.894247923076925,67.06650223076923,13
chaklala,33.596441686153845,73.08850516692308,13
korang road,33.647328,73.037486,13
chandni chowk,33.63163564692308,73.07228593384615,13
lyari expressway,24.900446384615385,67.05420753846154,13
koral town,33.60180954076923,73.14196215846154,13
aitchison society,31.457810068461534,74.25337709307692,13
nemat colony no 2,31.41064698153846,73.12701936461539,13
national town,31.713370384615384,74.1969806153846,13
ring road,31.547705076923076,74.43490053846153,13
rufi lake drive apartments,24.907373846153845,67.12110661538462,13
mumtaz colony,33.560583,73.058993,13
chak 208 road,31.435264370000002,73.14341074846153,13
guru mandir chorangi,24.880755,67.039694,13
pwd colony,33.570881,73.145235,13
ittifaq town,31.492655553846152,74.25217428153846,13
friends colony,33.603504,72.997584,12
faisal gardens,31.46309216666667,73.173091,12
pakistan chowk,24.854108406666665,67.0121597475,12
new canal park,31.567377000000004,74.41558333333333,12
diamond city,24.874796,67.017519,12
infantry road,31.532235,74.36854641666667,12
qayyumabad,24.8248270125,67.08163270333334,12
ittehad colony,31.527593,74.287705,12
gizri road,24.82221708333333,67.04612908333333,12
garden colony,31.397495000000003,73.105595,12
walled city,31.581747879999998,74.3159603375,12
wassanpura,31.5907363725,74.33667049666667,12
wafaqi colony,31.47669369333333,74.27431964916666,12
